name	nickname
Aberdeen, Scotland	The Granite City
Akron, OH	Rubber City
Albany, Georgia	Good Life City
Albany, OR	Home of the Timber Carnival
Alexandria, Egypt	Pearl of the Mediterranean
Allentown, Pennsylvania	Cement City
Alpine, TX	Gateway to the Big Bend
Annapolis, Maryland	Crabtown
Atlanta, GA	The Athens of the South
Atlanta, GA	The City Too Busy to Hate
Atlanta, GA	Dogwood City
Atlanta, GA	Gate City of the South
Auckland, NZ	City of Sails
Baltimore, Maryland	Charm City
Baltimore, Maryland	Monument City
Banaras, India	Luminous City
Bandon, OR	Storm Capital of the World
Bangkok, Thailand	Venice of the East
Beaver, OK	Cow Chip Throwing Capital of the World
Bemidji, MN	Home of Paul Bunyan & Babe, the Blue Ox (see Brainerd and Westwood)
Beograd	The White City
Bickleton, WA	Bluebird Capital of the World
Birmingham, AL	Pittsburgh of the South
Boston, MA	The Athens of America
Boston, MA	Beantown
Boston, MA	The City of Kind Hearts
Boston, MA	The Cradle of Liberty
Boston, MA	The Hub of the Universe
Boston, MA	Puritan City
Brainerd, MN	Home of Paul Bunyan & Babe, the Blue Ox
Bristol, TN	Food City
Brandon, Manitoba	The Wheat City
Bucharest, Romania	The Little Paris
Budapest, Hungary	The Pearl of the Danube
Buffalo, New York	Bison City
Buffalo, New York	Flour City
Buffalo, NY	The City of Good Neighbors
Buffalo, NY	The Nickel City
Buffalo, NY	The Queen City (of the Great Lakes)
Burlington, Iowa	Loader/Backhoe Capital of the World
Butte, Montana	Copper City
Byran, Ohio	The Fountain City
Calgary, Alberta, Canada	The Stampede City
Calgary, Alberta, Canada	The Heart of The New West (that's the New Convention and Visitors Bureau slogan)
Calgary, Alberta, Canada	Canada's oil capital (Because of high concentration of oil company head offices, as in Houston)
Cape Girardeau, Missouri	Rose City
Cape Hatteras, North Carolina	The Graveyard of the Atlantic
Castroville, CA	Artichoke Center of the World
Champaign-Urbana, IL	Chambana
Champaign-Urbana, IL	Shampoo-Bananna
Champaign-Urbana, IL	Urpaign
Charleston, South Carolina	America's Most Historic City
Charleston, South Carolina	Palmetto City
Charlotte, North Carolina	Hornets Nest
Charlotte, North Carolina	Queen City
Chicago, Illinois	Big Town
Chicago	City of Big Shoulders
Chicago, Illinois	Hog Butcher for the World
Chicago	Slaughterhouse to the World
Chicago, Illinois	Phoenix City
Chicago, Illinois	Second City
Chicago	The Windy City
Christchurch, NZ	The Garden City
Cincinnati, Ohio	Queen City
Cleveland, Ohio	Mistake on the Lake
Cleveland, OH	America's North Coast
Cody, WY	Rodeo Capital of the World
Columbus, OH	The Crossroads of Ohio
Cooperstown, New York	Birthplace of Baseball
Council Bluffs, Iowa	Iowa's Leading Edge
Crestwood (Louisville), KY	Whiskers
Cuernavaca, Morelos, Mexico	The City of Eternal Spring
Dallas, Texas	Big D
Dayton, Ohio	Birthplace of Aviation
Denver, Colorado	City of the Plains
Denver, Colorado	Convention City
Denver, CO	Mile High City
Denver, Colorado	Queen City
Detroit, MI	Motown
Detroit, MI	Motor City
Dipolog City, Philippines	Orchid City
Douglas, WY	Jackalope Capitol
Durham, NC	City of Medicine
Durham, NC	Bull City
Edinburgh, Scotland	Athens of the North
Erie, Pennsylvania	The Gem
Eskilstuna, Sweden	Smedstan (The smith City)
Fallbrook, CA	Avocado Capital of the World
Florence, Italy	The City of Lillies
Fort Myers, Florida	The City of Palms
Frannie, WY	Biggest Little Town in Wyoming
Gainesville, Florida	Hogtown
Gallup, NM	Drunk-Driving Capital of America
Gilroy, CA	Garlic Capital of the World
Gotland, Sweden	Pearl of the Baltic
Göteborg, Sweden	Götet
Granby, CO	Snowmobile Capital of Colorado
Grants Pass, Oregon	Where the Rogue River Runs
Greenfield, CA	Broccoli Capital of the World
Hammondsport, New York	Cradle of Aviation
Hawthorne, CA	The City of Good Neighbors (2)
Hershey, PA	Chocolate Town, USA
Hollywood	Hollyweird
Hollywood	Tinseltown
Holtville, CA	Carrot Capital of the World
Hong Kong	Pearl of the Orient
Hood River, Oregon (Columbia Gorge)	Windsurfing Capital of the World
Hoople, North Dakota	Tater Town
Houston, Texas	Magnolia City
Indianapolis, Indiana	Naptown
Indianapolis, Indiana	Circle City
Indianapolis, Indiana	Railroad City
Indio, CA	Date Capital of the World
International Falls, Minnesota	The Icebox of the United States
Isleton, CA	Crawdad Town, USA
Jackson, Mississippi	Chimneyville
Jaipur	The Pink City
Jerusalem	City of David
Jerusalem	City of Peace
Jönköping, Sweden	Smålands Jerusalem
Kalamazoo, Michigan	Celery City
Kansas City, Kansas	Heart of America
Kokomo, Indiana	City of Firsts
Kristianstad, Sweden	Lilla Paris (rare these days)
Keizer, OR	Iris Capital of the World
Kelseyville, CA	Pear Capital of the World (but see here).
Laramie, WY	Gem City of the Plains
Las Vegas	Sin City
Las Vegas	Entertainment Capital of the World
